coin,URL,count
bitcoin,http://privex3guvvasyer6pxz2fqcgy56auvw5egkir6ykwpptferdcb5toad.onion/,1
monero,http://privex3guvvasyer6pxz2fqcgy56auvw5egkir6ykwpptferdcb5toad.onion/,2
litecoin,http://privex3guvvasyer6pxz2fqcgy56auvw5egkir6ykwpptferdcb5toad.onion/,1
bitcoin,http://4dtwo7g4yjqtiu7sta7icchm3f2aomvfv62xrgn6jc42lm43ut4aydqd.onion/about/,1
bitcoin,http://uhqqhaq4keya7deng26ejmwdbty4brod4zj4nrydtteaw4yhroeeeqad.onion/,2
ethereum,http://uhqqhaq4keya7deng26ejmwdbty4brod4zj4nrydtteaw4yhroeeeqad.onion/,7
bitcoin,http://2a2a2abbjsjcjwfuozip6idfxsxyowoi3ajqyehqzfqyxezhacur7oyd.onion/shop/counterfeits/pre-shredded-25-000-usd-cash-queens-cash/,25
bitcoin,http://2a2a2abbjsjcjwfuozip6idfxsxyowoi3ajqyehqzfqyxezhacur7oyd.onion/?product_cat=counterfeits,41
bitcoin,http://dptvdzlv5ioyywhan642uppc5c4sa6dxbtm6stj4lai5tmdzkngs5oad.onion/,7
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/wikis.html,1
bitcoin,http://22tojepqmpah32fkeuurutki7o5bmb45uhmgzdg4l2tk34fkdafgt7id.onion/,33
monero,http://22tojepqmpah32fkeuurutki7o5bmb45uhmgzdg4l2tk34fkdafgt7id.onion/,1
ethereum,http://22tojepqmpah32fkeuurutki7o5bmb45uhmgzdg4l2tk34fkdafgt7id.onion/,2
bitcoin,http://qidpoasheucappicqxqtrihclpwb7hn5m73mw4fovc5vvgyvp7vtwcqd.onion/,2
bitcoin,http://generzwnpm2av5fpctcqie6xdqpo7c2wflvxo2ngvim3wnwe5evg3cqd.onion/,1
bitcoin,http://uquroyobsaquslaunwkz6bmc3wutpzvwe7mv62xeq64645a57bugnsyd.onion,4
bitcoin,http://imperia6onwprqllkdc33zbws2rnn6qxohylq7xbqfl5yuvd2ofc6yid.onion/,4
bitcoin,http://hbkxrww7iiwtr6j3mvxhchaz42fkt3dq7g3aa44ip25pc62s3rh5uvad.onion,1
bitcoin,http://5n4qdkw2wavc55peppyrelmb2rgsx7ohcb2tkxhub2gyfurxulfyd3id.onion/,1
bitcoin,http://iyptqjjxwrinw2wxheags6cknm3ix5nhc222xdab2dtimym4huqmyaqd.onion/,22
monero,http://iyptqjjxwrinw2wxheags6cknm3ix5nhc222xdab2dtimym4huqmyaqd.onion/,3
bitcoin,http://deep2v63hwfsupagnmzxyal6jxhtcxdennvcsekkji7qqic4jmjcj3yd.onion/,4
bitcoin,http://fjg2ej7wepe4xp7yp343q76y2pzzh5vxrhptdk5rdoi5q3y4cez7glyd.onion/,5
bitcoin,http://torbei4xgybpkdgbsjuq7js64afj5ifqjdd5bbzntqai3xopzv2qptyd.onion/,3
bitcoin,http://uiwukoycteiwue5ahmi7bex4hvsc2e4yudlrfatucoozf5gp3p6vreyd.onion,1
bitcoin,http://hgzqgqunlejgxruvcthlpk3pywgkci3kkubhnvlv2rgveusz3n6qarad.onion,3
bitcoin,http://dioxkc3vegmpty7x3kiuuhk4yh6zn6ruonsuj6sqke464mggl3tp7wyd.onion,9
bitcoin,http://24dwni3zqe5x4alosa3vzippfog5nupoozurlagh4xqywnbd5fr3ebyd.onion/,10
bitcoin,http://sau4nxmvfjxjr2ci4xvrt777dat7trkuna3yvft5374ps7nijx623yyd.onion,14
bitcoin,http://cct5wy6mzgmft24xzw6zeaf55aaqmo6324gjlsghdhbiw5gdaaf4pkad.onion/,1
monero,http://cct5wy6mzgmft24xzw6zeaf55aaqmo6324gjlsghdhbiw5gdaaf4pkad.onion/,1
ethereum,http://cct5wy6mzgmft24xzw6zeaf55aaqmo6324gjlsghdhbiw5gdaaf4pkad.onion/,1
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/news.html,1
bitcoin,http://2tppkhyhxqeepmtcigbb64zj3rbzkupczox5dfheuu4wdljzggxuiiad.onion,1
bitcoin,http://g3rzig6perhzmqepfx7zneaqmwjvmnvw53cxcgl7jjl7sp5gdbd5tlyd.onion,2
bitcoin,http://tomjejezyhisqf4cqzhtjoqtwdf7slb46eprudl4dyt2gmbpvsqmzkyd.onion,3
bitcoin,http://coqecsrd2gscgzs4ccc6weu7foawgcx5f4nllbmipgcw63n5eunfvvid.onion/,1
bitcoin,http://5n4qdkw2wavc55peppyrelmb2rgsx7ohcb2tkxhub2gyfurxulfyd3id.onion,1
bitcoin,http://h32ifdjro27sfrf5hdykdzf6xfpdvzco7uccfpbv2gfqvlbx7dlrpryd.onion/,1
bitcoin,http://xyenyedbtcw5xvrxbixbx3hkrgz4q2creek3s5fiorgc7w2pi5552iad.onion,2
bitcoin,http://salecl36zy7kdxaz42tvnfo5g3kdvmncdgdbw3ov3yr7cwooy6qzuhqd.onion/,3
bitcoin,http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion/,50
